167-169,,,Hegira Dates,Date Range 1,Date Range 2
"??-?????‘?? ??-???? ??? ??-??‘???? ??-????, ?????????, 251 ?. ?.",251,251,251,865,866
"??-??‘????? ‘???-????, ??????? ??-?????, 264 ?. ?.",264,264,264,877,878
"??-??‘????? ‘???-????, ?????????, 265 ?. ?.",265,265,265,878,879
"??-??‘????? ‘???-????, ???????, 269 ?. ?.",269,269,269,882,883
"??-??‘????? ‘???-????, ?????‘?, 277 ?. ?.",277,277,277,890,891
‘??????????? ?????????? ???????? ?????? – ?? ????? 1 ???.,1,1,1,622,623
"????? ??? ?????, ??-‘????????, 162 ?. ?.",162,162,162,778,779
???????? ????? ?????? ???????? X ?.,#VALUE!,#VALUE!,0,NA,NA
???????? – ?? ????? 22 ????? ?????,22,22,22,642,643
????‘?? ??? ?????,#VALUE!,#VALUE!,0,NA,NA
"??????? ??? ?????, ??-???, 280 ?. ?.",280,280,280,893,894
"??????? ??? ?????, ??-???, 282 ?. ?.",282,282,282,895,896
"??????? ??? ?????, ??-???, 283 ?. ?.",283,283,283,896,897
"??????? ??? ?????, ??-???, 284 ?. ?.",284,284,284,897,898
"??????? ??? ?????, ??-???, 286 ?. ?.",286,286,286,899,900
"??????? ??? ?????, ??-???, 287 ?. ?.",287,287,287,900,NA
"??????? ??? ?????, ??-???, 288 ?. ?.",288,288,288,900,901
"??????? ??? ?????, ??-???, 289 ?. ?.",289,289,289,901,902
"??????? ??? ?????, ??-???, 290 ?. ?.",290,290,290,902,903
"??????? ??? ?????, ??-???, 291 ?. ?.",291,291,291,903,904
"??????? ??? ?????, ??-???, 292 ?. ?.",292,292,292,904,905
"??????? ??? ?????, ??-???, 293 ?. ?.",293,293,293,905,906
"??????? ??? ?????, ?????????, 284 ?. ?.",284,284,284,897,898
"??????? ??? ?????, ?????????, 286 ?. ?.",286,286,286,899,900
"??????? ??? ?????, ?????????, 287 ?. ?.",287,287,287,900,NA
"??????? ??? ?????, ?????????, 288 ?. ?.",288,288,288,900,901
"??????? ??? ?????, ?????????, 290 ?. ?.",290,290,290,902,903
"??????? ??? ?????, ?????????, 291 ?. ?.",291,291,291,903,904
"??????? ??? ?????, ?????????, 292 ?. ?.",292,292,292,904,905
"??????? ??? ?????, ?????????, 293 ?. ?.",293,293,293,905,906
"??????? ??? ?????, ????????, 293 ?. ?.",293,293,293,905,906
"??????? ??? ?????, ????, 293 ?. ?.",293,293,293,905,906
,#VALUE!,#VALUE!,0,NA,NA
172-174,172174,172,172,788,789
?????????52,52,52,52,672,NA
"????? ??? ???????? – 1 ???., ??? 0,5%",105,105,105,723,724
"?????, 293 ?. ?.",293,293,293,905,906
????????,#VALUE!,#VALUE!,0,NA,NA
"????‘?? ??? ????? – 28 ???., ??? 14,6%",28146,281,281,894,895
"??-???, 282 ?. ?. (3 ???.)",2823,282,282,895,896
"??-???, 285 ?. ?. (1 ???.)",2851,285,285,898,899
"??-???, 286 ?. ?. (3 ???.)",2863,286,286,899,900
"??-???, 287 ?. ?. (2 ???.)",2872,287,287,900,NA
"??-???, 289 ?. ?. (1 ???.)",2891,289,289,901,902
"??-???, 290 ?. ?. (1 ???.)",2901,290,290,902,903
"??-???, 291 ?. ?. (1 ???.)",2911,291,291,903,904
"??-???, 29(1,2) ?. ?. (1 ???.)",29121,291,291,903,904
"??-???, 292 ?. ?. (3 ???.)",2923,292,292,904,905
"??-???, 293 ?. ?. (3 ???.)",2933,293,293,905,906
"??-???, 294 ?. ?. (1 ???.)",2941,294,294,906,907
"??-???, 295 ?. ?. (1 ???.)",2951,295,295,907,908
"?????????, 285 ?. ?. (1 ???.)",2851,285,285,898,899
"?????????, 287 ?. ?. (1 ???.)",2871,287,287,900,NA
"?????????, 293 ?. ?. (1 ???.)",2931,293,293,905,906
"?????????, 294 ?. ?. (2 ???.)",2942,294,294,906,907
"????, 292 ?. ?. (1 ???.)",2921,292,292,904,905
"???????, 2[××] ?. ?. (1 ???.)",21,21,21,641,642
Xram.indd 172 28.05.2013 14:13:19,1.72281E+16,172,172,788,789
???????? ????? ?????? ???????? X ?.,#VALUE!,#VALUE!,0,NA,NA
