Information,Hegira Date 1,Date Range 1,Date Range 2,Hegira Date 2,Date Range 1,Date Range 2
"Samanid AR dirham, Nasr II b. Ahmad, with Banijurid Ahmad, Andaraba 302AH ",302,914,915,,,
"Samanid AR dirham, Nuh b. Nasr, 338AH, fraction ",338,949,950,,,
"Samanid AR dirham, Nuh b. Nasr, 34xAH ",340,951,952,349,960,961
"Samanid AR dirham, Nuh b. Nasr, broken ",,,,,,
"Samanid AR dirham, Nuh b. Nasr, fraction ",,,,,,
"Samanid AR dirham, Nuh b. Nasr, graffiti ",,,,,,
"Samanid AR dirham, Nuh b. Nasr, half ",,,,,,
"Samanid AR dirham, Nuh b. Nasr, Samarqand 335AH ",335,946,947,,,
"Samanid AR dirham, Nuh b. Nasr, Samarqand 338AH ",338,949,950,,,
"Samanid AR dirham, Nuh b. Nasr, Samarqand 342AH, half ",342,953,954,,,
"Samanid AR dirham, Nuh b. Nasr, Samarqand 34xAH ",340,951,952,349,960,961
"Samanid AR dirham, Nuh b. Nasr, Samarqand(?), date effaced ",,,,,,
"Samanid AR dirham, Nuh b. Nasr, Shash 334AH ",334,945,946,,,
"Samanid AR dirham, Nuh b. Nasr, Shash 340AH ",340,951,952,,,
"Samanid AR dirham, Nuh b. Nasr, Shash, half ",,,,,,
"Samanid AR dirham, Nuh b. Nasr?, Samarqand [3]42?AH, half ",342,953,954,,,
"Samanid AR dirham, Nuh b. Nasr?, Shash, fraction ",,,,,,
"Samanid, Nuh b. Nasr + Quttegin, Balkh 34xAH, fraction ",340,951,952,349,960,961
,,,,,,
IMITATIONS:,,,,,,
'Abbasid (?) AR dirham imitation ,,,,,,
"'Abbasid AR dirham imitation, al-Muktafi, Madinat al-Salam 2(7 or 9)9AH ",279,892,893,299,911,912
"'Abbasid AR dirham, al-Muktafi, Madinat al-Salam 299AH, imitation ",299,911,912,,,
"Islamic AR dirham imitation, half ",,,,,,
"Islamic AR dirham, imitation, half ",,,,,,
"Islamic AR dirham, imitation, half ",,,,,,
"Samanid AR dirham imitation, Nasr II b. Ahmad ",,,,,,
,,,,,,
INDETERMINABLE ISLAMIC:,,,,,,
Islamic AR dirham ,,,,,,
Islamic AR dirham ,,,,,,
"Islamic AR dirham, half ",,,,,,
"Islamic AR dirham, half ",,,,,,
"Islamic AR dirham, half ",,,,,,
"Islamic AR dirham, half ",,,,,,
