reg.nr,Dy0sti,Myntort och årtal,AD,gram,kondition,"""fynd""","""fynd""",Hegira Date 1,X,Date Range 1,Date range 2,2 Date Range 1,2 Date Range 2
10,Ab1,0,0,0,f .,0,181,0,0,0,0,0,0
49,Ab1,0,0,0,f .,1:NVlag4,0,0,0,0,0,0,0
14,Ab1,0,0,0,f 4n.,0,181,0,0,0,0,0,0
71,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
18,Ab1,0,0,0,f 1n,0,181,0,0,0,0,0,0
16,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
22,Ab1,0,0,0,f 3n.,0,181,0,0,0,0,0,0
53,Ab1,0,0,0,f 2n,1:NVlag4,0,0,0,0,0,0,0
26,Ab1,0,0,0,f 1n,0,181,0,0,0,0,0,0
32,Ab1,0,0,0,f .,0,173,0,0,0,0,0,0
30,Ab1,0,0,0,f 5n,0,181,0,0,0,0,0,0
61,Ab1,0,0,0,f 4n,1:NVlag4,0,0,0,0,0,0,0
34,Ab1,0,0,0,f .,0,173,0,0,0,0,0,0
69,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
38,Ab1,0,0,0,f,0,173,0,0,0,0,0,0
48,Ab1,0,0,0,f,1:NVlag4,0,0,0,0,0,0,0
42,Ab1,0,0,0,f,0,173,0,0,0,0,0,0
57,Ab1,0,0,0,f 1n,1:NVlag4,0,0,0,0,0,0,0
46,Ab1,0,0,0,f .,1:NVlag4,0,0,0,0,0,0,0
65,Ab1,0,0,0,f,1:NVlag4,0,0,0,0,0,0,0
4,Ab1,0,0,0,f .,0,181,0,0,0,0,0,0
94,Ab1,0,0,0,f 1n.,1:oreg.,0,0,0,0,0,0,0
12,Ab1,0,0,0,f 1n,0,181,0,0,0,0,0,0
95,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
13,Ab1,0,0,0,f 3n,0,181,0,0,0,0,0,0
96,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
21,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
97,Ab1,0,0,0,f 3n,1:oreg.,0,0,0,0,0,0,0
29,Ab1,0,0,0,f 2n,0,181,0,0,0,0,0,0
98,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
37,Ab1,0,0,0,f,0,173,0,0,0,0,0,0
155,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
45,Ab1,0,0,0,f 4n,1:NVlag4,0,0,0,0,0,0,0
112,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
9,Ab1,0,0,0,f 3n.,0,181,0,0,0,0,0,0
113,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
88,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
163,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
90,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
92,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
87,Ab1,0,0,0,f 9n,1:oreg.,0,0,0,0,0,0,0
89,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
91,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
164,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
114,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
115,Ab1,0,0,0,f 11n,1:oreg.,0,0,0,0,0,0,0
135,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
136,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
204,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
145,Ab1,0,0,0,f 1n,1:x,0,0,0,0,0,0,0
103,Ab1,0,0,0,f 18n,1:oreg.,0,0,0,0,0,0,0
133,Ab1,0,0,0,f 8n,1:x,0,0,0,0,0,0,0
105,Ab1,0,0,0,f 14n,1:oreg.,0,0,0,0,0,0,0
132,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
203,Ab1,0,0,0,f .,1:x,0,0,0,0,0,0,0
143,Ab1,0,0,0,f 3n,1:x,0,0,0,0,0,0,0
127,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
116,Ab1,0,0,0,f 5n,1:oreg.,0,0,0,0,0,0,0
137,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
118,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
140,Ab1,0,0,0,f 4n,1:x,0,0,0,0,0,0,0
120,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
141,Ab1,0,0,0,f 2n,1:x,0,0,0,0,0,0,0
122,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
109,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
124,Ab1,0,0,0,f 3n.,1:oreg.,0,0,0,0,0,0,0
159,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
126,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
100,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
167,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
168,Ab1,0,0,0,f,1:x,0,0,0,0,0,0,0
